"Samuels-MacBook-Pro.local","Joey and Sams Test"
"osj-tsm-01-tst","BSafe Tasman"
"osj-ubt-01-prd","qaservice-datadomain"
"osj-ubt-01-tst","qaservice-datadomain"
"osj-ubt-02-prd","SDNAS"
"osj-ubt-02-tst","SDNAS"
"osj-ubt-03-prd","EMPTY"
"osj-ubt-03-tst","EMPTY"
"osj-ubt-04-prd","https://10.226.75.75/ (PPDM)"
"osj-ubt-04-tst","https://10.226.75.75/ (PPDM)"
"osj-ubt-05-prd","PowerStore/Primary storage"
"osj-ubt-05-tst","PowerStore/Primary storage"
"osj-ubt-06-prd","QA Chart"
"osj-ubt-06-tst","QA Chart"
"osj-ubt-07-prd","gpsbuildfarm"
"osj-ubt-07-tst","gpsbuildfarm"
"osj-ubt-08-prd","Unity/Primary storage"
"osj-ubt-08-tst","Unity/Primary storage"
"osj-ubt-09-prd","DP Search"
"osj-ubt-09-tst","DP Search"
"osj-ubt-10-prd","Santorini /Unstructured storage"
"osj-ubt-10-tst","Santorini /Unstructured storage"
"osj-ubt-11-prd","PowerProtect DataDomain (PPDD)"
"osj-ubt-11-tst","PowerProtect DataDomain (PPDD)"
"osj-ubt-12-prd","TSB"
"osj-ubt-12-tst","TSB"
"osj-ubt-13-prd","IDPS-PPDM"
"osj-ubt-13-tst","IDPS-PPDM"
"osj-ubt-14-prd","Data Domain"
"osj-ubt-14-tst","Data Domain"
"osj-ubt-15-prd","FPGA"
"osj-ubt-15-tst","FPGA"
"osj-ubt-16-prd","PowerPath Data domain"
"osj-ubt-16-tst","PowerPath Data domain"
"osj-ubt-17-prd","EMPTY"
"osj-ubt-17-tst","EMPTY"
"osj-ubt-18-prd","Customer Experience Eng"
"osj-ubt-18-tst","Customer Experience Eng"
"osj-ubt-19-prd","EMPTY"
"osj-ubt-19-tst","EMPTY"
"osj-ubt-20-prd","Primary storage (prodcyc)"
"osj-ubt-20-tst","Primary storage (prodcyc)"
"osj-ubt-21-prd","Customer and Financial Services"
"osj-ubt-21-tst","Customer and Financial Services"
"osj-ubt-22-prd","Primary Storage (ci-server-16)"
"osj-ubt-22-tst","Primary Storage (ci-server-16)"
"osj-ubt-23-prd","EMPTY"
"osj-ubt-23-tst","EMPTY"
"osj-ubt-24-prd","PowerStore/Primary storage"
"osj-ubt-24-tst","PowerStore/Primary storage"
"osj-ubt-25-prd","BIOS ODM users"
"osj-ubt-25-tst","BIOS ODM users"
"osj-ubt-26-prd","Unknown"
"osj-ubt-26-tst","Unknown"
"osj-ubt-27-prd","Unity/Primary storage (ci-server-21)"
"osj-ubt-27-tst","Unity/Primary storage (ci-server-21)"
"osj-ubt-28-prd","Primary Storage (JIRA)"
"osj-ubt-28-tst","Primary Storage (JIRA)"
"osj-ubt-29-prd","XIO_SUSTAINING/MR_GEN MGMT (ci-server-60)"
"osj-ubt-29-tst","XIO_SUSTAINING/MR_GEN MGMT (ci-server-60)"
"osj-ubt-30-prd","XIO_SUSTAINING/MR_GEN MGMT (ci-server-56)"
"osj-ubt-30-tst","XIO_SUSTAINING/MR_GEN MGMT (ci-server-56)"
"osj-ubt-31-prd","Power scale/Primary storage"
"osj-ubt-31-tst","Power scale/Primary storage"
"osj-ubt-32-prd","EMPTY"
"osj-ubt-32-tst","EMPTY"
"osj-ubt-33-prd","Unstructured and Secondary Storage (Fruti)"
"osj-ubt-33-tst","Unstructured and Secondary Storage (Fruti)"
"osj-ubt-34-prd","ISG Electrical Eng"
"osj-ubt-34-tst","ISG Electrical Eng"
"osj-ubt-35-prd","idrac/IMSSE"
"osj-ubt-35-tst","idrac/IMSSE"
"osj-ubt-36-prd","EMPTY"
"osj-ubt-36-tst","EMPTY"
"osj-ubt-37-prd","EMPTY"
"osj-ubt-37-tst","EMPTY"
"osj-ubt-38-prd","Avamar/TechOps"
"osj-ubt-38-tst","Avamar/TechOps"
"osj-ubt-39-prd","Primary Storage (ci-server-08)"
"osj-ubt-39-tst","Primary Storage (ci-server-08)"
"osj-ubt-40-tst","DPA (DP advisor)"
"osj-ubt-41-tst","EMPTY"
"osj-ubt-42-tst","EMPTY"
"osj-ubt-43-tst","Avamar/TechOps"
"osj-ubt-44-tst","Unstructured and Secondary Storage"
"osj-ubt-45-tst","EMPTY"
"osj-ubt-46-prd","Unstructured and Secondary Storage"
"osj-ubt-46-tst","Unstructured and Secondary Storage"
"osj-ubt-47-prd","EMPTY"
"osj-ubt-47-tst","EMPTY"
"osj-ubt-48-prd","EMPTY"
"osj-ubt-48-tst","EMPTY"
"osj-ubt-49-prd","EMPTY"
"osj-ubt-49-tst","EMPTY"
"osj-ubt-50-prd","EMPTY"
"osj-ubt-50-tst","EMPTY"
"osj-ubt-52-prd","PowerEdge Validation"
"osj-ubt-52-tst","PowerEdge Validation"
"osj-ubt-53-prd","EMPTY"
"osj-ubt-53-tst","EMPTY"
"osj-ubt-54-prd","EMPTY"
"osj-ubt-54-tst","EMPTY"
"osj-ubt-55-prd","PowerStore/Primary storage"
"osj-ubt-55-tst","PowerStore/Primary storage"
"osj-ubt-56-prd","Virtualization (ISG)"
"osj-ubt-56-tst","Virtualization (ISG)"
"osj-ubt-57-prd","HCL (Networker/Avamar)"
"osj-ubt-57-tst","HCL (Networker/Avamar)"
"osj-ubt-58-prd","EMPTY"
"osj-ubt-58-tst","EMPTY"
"osj-ubt-59-prd","EMPTY"
"osj-ubt-59-tst","EMPTY"
"osj-ubt-60-prd","HCL (Networker/Avamar)"
"osj-ubt-60-tst","HCL (Networker/Avamar)"
"osj-ubt-61-prd","HCL (Avamar)"
"osj-ubt-61-tst","HCL (Avamar)"
"osj-ubt-62-prd","ldpdb144.hop.lab.emc.com"
"osj-ubt-62-tst","ldpdb144.hop.lab.emc.com"
"osj-ubt-63-prd","jenkins.emc.com"
"osj-ubt-63-tst","jenkins.emc.com"
"osj-ubt-64-prd","HCL (Dp Search)"
"osj-ubt-64-tst","HCL (Dp Search)"
"osj-ubt-65-prd","PowerEdge Validation"
"osj-ubt-65-tst","PowerEdge Validation"
"osj-ubt-66-prd","Santorini /Unstructured storage"
"osj-ubt-66-tst","Santorini /Unstructured storage"
"osj-uds-01-prd","UDS Tools"
"osj-uds-01-tst","UDS Tools"
"osj-uni-01-prd","Unity (moving out of osj-cyc-01-prd)"
"osj-uni-01-tst","Unity (moving out of osj-cyc-01-prd)"
"osj-vmc-01-prd","vMware Cloud"
"osj-vmc-01-tst","vMware Cloud"
"osj-vmx-01-prd","PowerMax (VMax)"
"osj-vmx-01-tst","PowerMax (VMax)"
"osj-vmx-02-prd","Vmax PMPE"
"osj-vmx-02-tst","Vmax PMPE"
"osj-vpx-01-prd","VPLEX"
"osj-vpx-01-tst","VPLEX"
"osj-vrx-01-prd","CET Rack Integration"
"osj-vrx-01-tst","CET Rack Integration"
"osj-vst-01-prd","VAST team"
"osj-vst-01-tst","VAST team"
"osj-vxb-01-prd","IP&S VxBlock"
"osj-vxb-01-tst","IP&S VxBlock"
"osj-vxr-01-prd","VxRail"
"osj-vxr-01-tst","VxRail"
"osj-vxr-02-prd","VxRail Configuration Helper"
"osj-vxr-02-tst","VxRail Configuration Helper"
"osj-vxr-03-prd","VxRail in-Cloud Premise"
"osj-vxr-03-tst","VxRail in-Cloud Premise"
"osj-vxr-04-prd","vXrail-Sizer"
"osj-vxr-04-tst","vXrail-Sizer"
